Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Nowi,None,Decreasing,1,DD,No alien died without eating meat.,No alien died without eating pork.
Evwho,Negative,Decreasing,1,DD,Every alien who did not eat any meat is hairy.,Every alien who did not eat pork is hairy.
Nowi,None,Increasing,1,DD,No alien died without eating pork.,No alien died without eating meat.
Evwho,Negative,Increasing,1,DD,Every alien who did not eat any pork is hairy.,Every alien who did not eat meat is hairy.
Nowi,None,Decreasing,2,DD,No alien died without watching sports matches.,No alien died without watching baseball matches.
Evwho,Negative,Decreasing,2,DD,Every alien who did not watch any sports matches is hairy.,Every alien who did not watch baseball matches is hairy.
Nowi,None,Increasing,2,DD,No alien died without watching baseball matches.,No alien died without watching sports matches.
Evwho,Negative,Increasing,2,DD,Every alien who did not watch any baseball matches is hairy.,Every alien who did not watch sports matches is hairy.
Nowi,None,Decreasing,3,DD,No alien died without seeing birds.,No alien died without seeing doves.
Evwho,Negative,Decreasing,3,DD,Every alien who did not see any birds is hairy.,Every alien who did not see doves is hairy.
Nowi,None,Increasing,3,DD,No alien died without seeing doves.,No alien died without seeing birds.
Evwho,Negative,Increasing,3,DD,Every alien who did not see any doves is hairy.,Every alien who did not see birds is hairy.
Nowi,None,Decreasing,4,DD,No alien died without eating at restaurants.,No alien died without eating at Mexican restaurants.
Evwho,Negative,Decreasing,4,DD,Every alien who did not eat at any restaurants is hairy.,Every alien who did not eat at Mexican restaurants is hairy.
Nowi,None,Increasing,4,DD,No alien died without eating at Mexican restaurants.,No alien died without eating at restaurants.
Evwho,Negative,Increasing,4,DD,Every alien who did not eat at any Mexican restaurants is hairy.,Every alien who did not eat at restaurants is hairy.
Nowi,None,Decreasing,5,DD,No alien died without playing with toys.,No alien died without playing with toy cars.
Evwho,Negative,Decreasing,5,DD,Every alien who did not play with any toys is hairy.,Every alien who did not play with toy cars is hairy.
Nowi,None,Increasing,5,DD,No alien died without playing with toy cars.,No alien died without playing with toys.
Evwho,Negative,Increasing,5,DD,Every alien who did not play with any toy cars is hairy.,Every alien who did not play with toys is hairy.
Nowi,None,Decreasing,6,DD,No alien died without using coins.,No alien died without using quarters.
