Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Few,Negative,Decreasing,9,DE,Few aliens drank any soda.,Few aliens drank any coke.
Few,Negative,Decreasing,2,DE,Few aliens watched any sports matches.,Few aliens watched any baseball matches.
Few,Negative,Decreasing,11,DE,Few aliens played with any toys.,Few aliens played with any toy cars.
Few,Negative,Decreasing,4,DE,Few aliens drove any cars.,Few aliens drove any SUVs.
Few,Negative,Increasing,9,DE,Few aliens drank any coke.,Few aliens drank any soda.
Few,Negative,Increasing,2,DE,Few aliens watched any baseball matches.,Few aliens watched any sports matches.
Few,Negative,Increasing,11,DE,Few aliens played with any toy cars.,Few aliens played with any toys.
Few,Negative,Increasing,4,DE,Few aliens drove any SUVs.,Few aliens drove any cars.
Negative,Negative,Decreasing,9,DE,The red alien did not drink any soda.,The red alien did not drink any coke.
Negative,Negative,Decreasing,2,DE,The red alien did not watch any sports matches.,The red alien did not watch any baseball matches.
Negative,Negative,Decreasing,11,DE,The red alien did not play with any toys.,The red alien did not play with any toy cars.
Negative,Negative,Decreasing,4,DE,The red alien did not drive any cars.,The red alien did not drive any SUVs.
Negative,Negative,Increasing,9,DE,The blue alien did not drink any coke.,The blue alien did not drink any soda.
Negative,Negative,Increasing,2,DE,The blue alien did not watch any baseball matches.,The blue alien did not watch any sports matches.
Negative,Negative,Increasing,11,DE,The blue alien did not play with any toy cars.,The blue alien did not play with any toys.
Negative,Negative,Increasing,4,DE,The blue alien did not drive any SUVs.,The blue alien did not drive any cars.
No,Negative,Decreasing,9,DE,No alien drank any soda.,No alien drank any coke.
No,Negative,Decreasing,2,DE,No alien watched any sports matches.,No alien watched any baseball matches.
No,Negative,Decreasing,11,DE,No alien played with any toys.,No alien played with any toy cars.
No,Negative,Decreasing,4,DE,No alien drove any cars.,No alien drove any SUVs.
No,Negative,Increasing,9,DE,No alien drank any coke.,No alien drank any soda.
No,Negative,Increasing,2,DE,No alien watched any baseball matches.,No alien watched any sports matches.
No,Negative,Increasing,11,DE,No alien played with any toy cars.,No alien played with any toys.
No,Negative,Increasing,4,DE,No alien drove any SUVs.,No alien drove any cars.
Few,None,Decreasing,1,DE,Few aliens ate meat.,Few aliens ate pork.
Few,None,Decreasing,6,DE,Few aliens read books.,Few aliens read sci-fi novels.
Few,None,Decreasing,3,DE,Few aliens saw birds.,Few aliens saw doves.
Few,None,Decreasing,8,DE,Few aliens threw balls.,Few aliens threw tennis balls.
Few,None,Increasing,1,DE,Few aliens ate pork.,Few aliens ate meat.
Few,None,Increasing,6,DE,Few aliens read sci-fi novels.,Few aliens read books.
Few,None,Increasing,3,DE,Few aliens saw doves.,Few aliens saw birds.
Few,None,Increasing,8,DE,Few aliens threw tennis balls.,Few aliens threw balls.
Negative,None,Decreasing,1,DE,The purple alien did not eat meat.,The purple alien did not eat pork.
Negative,None,Decreasing,6,DE,The purple alien did not read books.,The purple alien did not read sci-fi novels.
Negative,None,Decreasing,3,DE,The purple alien did not see birds.,The purple alien did not see doves.
Negative,None,Decreasing,8,DE,The purple alien did not throw balls.,The purple alien did not throw tennis balls.
Negative,None,Increasing,1,DE,The yellow alien did not eat pork.,The yellow alien did not eat meat.
Negative,None,Increasing,6,DE,The yellow alien did not read sci-fi novels.,The yellow alien did not read books.
Negative,None,Increasing,3,DE,The yellow alien did not see doves.,The yellow alien did not see birds.
Negative,None,Increasing,8,DE,The yellow alien did not throw tennis balls.,The yellow alien did not throw balls.
No,None,Decreasing,1,DE,No alien ate meat.,No alien ate pork.
No,None,Decreasing,6,DE,No alien read books.,No alien read sci-fi novels.
No,None,Decreasing,3,DE,No alien saw birds.,No alien saw doves.
No,None,Decreasing,8,DE,No alien threw balls.,No alien threw tennis balls.
No,None,Increasing,1,DE,No alien ate pork.,No alien ate meat.
No,None,Increasing,6,DE,No alien read sci-fi novels.,No alien read books.
No,None,Increasing,3,DE,No alien saw doves.,No alien saw birds.
No,None,Increasing,8,DE,No alien threw tennis balls.,No alien threw balls.
Exactly 12,Negative,Decreasing,9,NM,Exactly 12 aliens drank any soda.,Exactly 12 aliens drank any coke.
Exactly 12,Negative,Decreasing,2,NM,Exactly 12 aliens watched any sports matches.,Exactly 12 aliens watched any baseball matches.
Exactly 12,Negative,Decreasing,11,NM,Exactly 12 aliens played with any toys.,Exactly 12 aliens played with any toy cars.
