Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Few,Negative,Decreasing,1,DE,Few aliens ate any meat.,Few aliens ate any pork.
Few,Negative,Decreasing,10,DE,Few aliens ate at any restaurants.,Few aliens ate at any Mexican restaurants.
Few,Negative,Decreasing,3,DE,Few aliens saw any birds.,Few aliens saw any doves.
Few,Negative,Decreasing,12,DE,Few aliens used any coins.,Few aliens used any quarters.
Few,Negative,Increasing,1,DE,Few aliens ate any pork.,Few aliens ate any meat.
Few,Negative,Increasing,10,DE,Few aliens ate at any Mexican restaurants.,Few aliens ate at any restaurants.
Few,Negative,Increasing,3,DE,Few aliens saw any doves.,Few aliens saw any birds.
Few,Negative,Increasing,12,DE,Few aliens used any quarters.,Few aliens used any coins.
Negative,Negative,Decreasing,1,DE,The red alien did not eat any meat.,The red alien did not eat any pork.
Negative,Negative,Decreasing,10,DE,The red alien did not eat at any restaurants.,The red alien did not eat at any Mexican restaurants.
Negative,Negative,Decreasing,3,DE,The red alien did not see any birds.,The red alien did not see any doves.
Negative,Negative,Decreasing,12,DE,The red alien did not use any coins.,The red alien did not use any quarters.
Negative,Negative,Increasing,1,DE,The blue alien did not eat any pork.,The blue alien did not eat any meat.
Negative,Negative,Increasing,10,DE,The blue alien did not eat at any Mexican restaurants.,The blue alien did not eat at any restaurants.
Negative,Negative,Increasing,3,DE,The blue alien did not see any doves.,The blue alien did not see any birds.
Negative,Negative,Increasing,12,DE,The blue alien did not use any quarters.,The blue alien did not use any coins.
No,Negative,Decreasing,1,DE,No alien ate any meat.,No alien ate any pork.
No,Negative,Decreasing,10,DE,No alien ate at any restaurants.,No alien ate at any Mexican restaurants.
No,Negative,Decreasing,3,DE,No alien saw any birds.,No alien saw any doves.
No,Negative,Decreasing,12,DE,No alien used any coins.,No alien used any quarters.
No,Negative,Increasing,1,DE,No alien ate any pork.,No alien ate any meat.
No,Negative,Increasing,10,DE,No alien ate at any Mexican restaurants.,No alien ate at any restaurants.
