Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Nowi,Positive,Decreasing,5,DD,No alien died without reading some magazines.,No alien died without reading news magazines.
Nowi,Positive,Decreasing,10,DD,No alien died without eating at some restaurants.,No alien died without eating at Mexican restaurants.
Nowi,Positive,Decreasing,7,DD,No alien died without buying some clothes.,No alien died without buying shirts.
Nowi,Positive,Decreasing,12,DD,No alien died without using some coins.,No alien died without using quarters.
Nowi,Positive,Increasing,5,DD,No alien died without reading some news magazines.,No alien died without reading magazines.
Nowi,Positive,Increasing,10,DD,No alien died without eating at some Mexican restaurants.,No alien died without eating at restaurants.
Nowi,Positive,Increasing,7,DD,No alien died without buying some shirts.,No alien died without buying clothes.
Nowi,Positive,Increasing,12,DD,No alien died without using some quarters.,No alien died without using coins.
Evwho,Positive,Decreasing,5,DD,Every alien who did not read some magazines is hairy.,Every alien who did not read news magazines is hairy.
Evwho,Positive,Decreasing,10,DD,Every alien who did not eat at some restaurants is hairy.,Every alien who did not eat at Mexican restaurants is hairy.
Evwho,Positive,Decreasing,7,DD,Every alien who did not buy some clothes is hairy.,Every alien who did not buy shirts is hairy.
Evwho,Positive,Decreasing,12,DD,Every alien who did not use some coins is hairy.,Every alien who did not use quarters is hairy.
Evwho,Positive,Increasing,5,DD,Every alien who did not read some news magazines is hairy.,Every alien who did not read magazines is hairy.
Evwho,Positive,Increasing,10,DD,Every alien who did not eat at some Mexican restaurants is hairy.,Every alien who did not eat at restaurants is hairy.
Evwho,Positive,Increasing,7,DD,Every alien who did not buy some shirts is hairy.,Every alien who did not buy clothes is hairy.
Evwho,Positive,Increasing,12,DD,Every alien who did not use some quarters is hairy.,Every alien who did not use coins is hairy.
Nowi,Negative,Decreasing,9,DD,No alien died without drinking any soda.,No alien died without drinking coke.
Nowi,Negative,Decreasing,2,DD,No alien died without watching any sports matches.,No alien died without watching baseball matches.
Nowi,Negative,Decreasing,11,DD,No alien died without playing with any toys.,No alien died without playing with toy cars.
Nowi,Negative,Decreasing,4,DD,No alien died without driving any cars.,No alien died without driving SUVs.
Nowi,Negative,Increasing,9,DD,No alien died without drinking any coke.,No alien died without drinking soda.
Nowi,Negative,Increasing,2,DD,No alien died without watching any baseball matches.,No alien died without watching sports matches.
Nowi,Negative,Increasing,11,DD,No alien died without playing with any toy cars.,No alien died without playing with toys.
Nowi,Negative,Increasing,4,DD,No alien died without driving any SUVs.,No alien died without driving cars.
Evwho,Negative,Decreasing,9,DD,Every alien who did not drink any soda is hairy.,Every alien who did not drink coke is hairy.
Evwho,Negative,Decreasing,2,DD,Every alien who did not watch any sports matches is hairy.,Every alien who did not watch baseball matches is hairy.
Evwho,Negative,Decreasing,11,DD,Every alien who did not play with any toys is hairy.,Every alien who did not play with toy cars is hairy.
Evwho,Negative,Decreasing,4,DD,Every alien who did not drive any cars is hairy.,Every alien who did not drive SUVs is hairy.
Evwho,Negative,Increasing,9,DD,Every alien who did not drink any coke is hairy.,Every alien who did not drink soda is hairy.
Evwho,Negative,Increasing,2,DD,Every alien who did not watch any baseball matches is hairy.,Every alien who did not watch sports matches is hairy.
Evwho,Negative,Increasing,11,DD,Every alien who did not play with any toy cars is hairy.,Every alien who did not play with toys is hairy.
Evwho,Negative,Increasing,4,DD,Every alien who did not drive any SUVs is hairy.,Every alien who did not drive cars is hairy.
Nowi,None,Decreasing,1,DD,No alien died without eating meat.,No alien died without eating pork.
Nowi,None,Decreasing,6,DD,No alien died without reading books.,No alien died without reading sci-fi novels.
Nowi,None,Decreasing,3,DD,No alien died without seeing birds.,No alien died without seeing doves.
Nowi,None,Decreasing,8,DD,No alien died without throwing balls.,No alien died without throwing tennis balls.
Nowi,None,Increasing,1,DD,No alien died without eating pork.,No alien died without eating meat.
Nowi,None,Increasing,6,DD,No alien died without reading sci-fi novels.,No alien died without reading books.
Nowi,None,Increasing,3,DD,No alien died without seeing doves.,No alien died without seeing birds.
Nowi,None,Increasing,8,DD,No alien died without throwing tennis balls.,No alien died without throwing balls.
Evwho,None,Decreasing,1,DD,Every alien who did not eat meat is hairy.,Every alien who did not eat pork is hairy.
Evwho,None,Decreasing,6,DD,Every alien who did not read books is hairy.,Every alien who did not read sci-fi novels is hairy.
Evwho,None,Decreasing,3,DD,Every alien who did not see birds is hairy.,Every alien who did not see doves is hairy.
Evwho,None,Decreasing,8,DD,Every alien who did not throw balls is hairy.,Every alien who did not throw tennis balls is hairy.
Evwho,None,Increasing,1,DD,Every alien who did not eat pork is hairy.,Every alien who did not eat meat is hairy.
Evwho,None,Increasing,6,DD,Every alien who did not read sci-fi novels is hairy.,Every alien who did not read books is hairy.
Evwho,None,Increasing,3,DD,Every alien who did not see doves is hairy.,Every alien who did not see birds is hairy.
Evwho,None,Increasing,8,DD,Every alien who did not throw tennis balls is hairy.,Every alien who did not throw balls is hairy.
Few,Negative,Decreasing,9,DE,Few aliens drank any soda.,Few aliens drank coke.
Few,Negative,Decreasing,2,DE,Few aliens watched any sports matches.,Few aliens watched baseball matches.
Few,Negative,Decreasing,11,DE,Few aliens played with any toys.,Few aliens played with toy cars.
Few,Negative,Decreasing,4,DE,Few aliens drove any cars.,Few aliens drove SUVs.
Few,Negative,Increasing,9,DE,Few aliens drank any coke.,Few aliens drank soda.
Few,Negative,Increasing,2,DE,Few aliens watched any baseball matches.,Few aliens watched sports matches.
Few,Negative,Increasing,11,DE,Few aliens played with any toy cars.,Few aliens played with toys.
Few,Negative,Increasing,4,DE,Few aliens drove any SUVs.,Few aliens drove cars.
Negative,Negative,Decreasing,9,DE,The red alien did not drink any soda.,The red alien did not drink coke.
Negative,Negative,Decreasing,2,DE,The red alien did not watch any sports matches.,The red alien did not watch baseball matches.
Negative,Negative,Decreasing,11,DE,The red alien did not play with any toys.,The red alien did not play with toy cars.
