Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Nowi,Positive,Decreasing,1,DD,No alien died without eating some meat.,No alien died without eating pork.
Nowi,Positive,Decreasing,2,DD,No alien died without watching some sports matches.,No alien died without watching baseball matches.
Nowi,Positive,Decreasing,3,DD,No alien died without seeing some birds.,No alien died without seeing doves.
Nowi,Positive,Decreasing,4,DD,No alien died without driving some cars.,No alien died without driving SUVs.
Nowi,Positive,Increasing,1,DD,No alien died without eating some pork.,No alien died without eating meat.
Nowi,Positive,Increasing,2,DD,No alien died without watching some baseball matches.,No alien died without watching sports matches.
Nowi,Positive,Increasing,3,DD,No alien died without seeing some doves.,No alien died without seeing birds.
Nowi,Positive,Increasing,4,DD,No alien died without driving some SUVs.,No alien died without driving cars.
Evwho,Positive,Decreasing,1,DD,Every alien who did not eat some meat is hairy.,Every alien who did not eat pork is hairy.
Evwho,Positive,Decreasing,2,DD,Every alien who did not watch some sports matches is hairy.,Every alien who did not watch baseball matches is hairy.
Evwho,Positive,Decreasing,3,DD,Every alien who did not see some birds is hairy.,Every alien who did not see doves is hairy.
Evwho,Positive,Decreasing,4,DD,Every alien who did not drive some cars is hairy.,Every alien who did not drive SUVs is hairy.
Evwho,Positive,Increasing,1,DD,Every alien who did not eat some pork is hairy.,Every alien who did not eat meat is hairy.
Evwho,Positive,Increasing,2,DD,Every alien who did not watch some baseball matches is hairy.,Every alien who did not watch sports matches is hairy.
Evwho,Positive,Increasing,3,DD,Every alien who did not see some doves is hairy.,Every alien who did not see birds is hairy.
Evwho,Positive,Increasing,4,DD,Every alien who did not drive some SUVs is hairy.,Every alien who did not drive cars is hairy.
Nowi,Negative,Decreasing,5,DD,No alien died without reading any magazines.,No alien died without reading news magazines.
Nowi,Negative,Decreasing,6,DD,No alien died without reading any books.,No alien died without reading sci-fi novels.
Nowi,Negative,Decreasing,7,DD,No alien died without buying any clothes.,No alien died without buying shirts.
Nowi,Negative,Decreasing,8,DD,No alien died without throwing any balls.,No alien died without throwing tennis balls.
Nowi,Negative,Increasing,5,DD,No alien died without reading any news magazines.,No alien died without reading magazines.
Nowi,Negative,Increasing,6,DD,No alien died without reading any sci-fi novels.,No alien died without reading books.
Nowi,Negative,Increasing,7,DD,No alien died without buying any shirts.,No alien died without buying clothes.
Nowi,Negative,Increasing,8,DD,No alien died without throwing any tennis balls.,No alien died without throwing balls.
Evwho,Negative,Decreasing,5,DD,Every alien who did not read any magazines is hairy.,Every alien who did not read news magazines is hairy.
Evwho,Negative,Decreasing,6,DD,Every alien who did not read any books is hairy.,Every alien who did not read sci-fi novels is hairy.
Evwho,Negative,Decreasing,7,DD,Every alien who did not buy any clothes is hairy.,Every alien who did not buy shirts is hairy.
Evwho,Negative,Decreasing,8,DD,Every alien who did not throw any balls is hairy.,Every alien who did not throw tennis balls is hairy.
Evwho,Negative,Increasing,5,DD,Every alien who did not read any news magazines is hairy.,Every alien who did not read magazines is hairy.
Evwho,Negative,Increasing,6,DD,Every alien who did not read any sci-fi novels is hairy.,Every alien who did not read books is hairy.
Evwho,Negative,Increasing,7,DD,Every alien who did not buy any shirts is hairy.,Every alien who did not buy clothes is hairy.
Evwho,Negative,Increasing,8,DD,Every alien who did not throw any tennis balls is hairy.,Every alien who did not throw balls is hairy.
